+------+--------+-------+--------------+--------------+--------------+---------------+-------------------+--------------+-----------------+
| id   | sen_id | va_id | ori_gold     | final_gold   | pred         | ex_condition  | worker_decision   | final_label  | dataset         |
| 2487 |    567 |  1318 | provide.01   | provide.01   | provide.01   | main_workflow | solved by filter  | provide.01   | WSD_large_scale |
| 2488 |    567 |  1319 | pay.01       | pay.01       | pay.01       | main_workflow | solved by filter  | pay.01       | WSD_large_scale |
| 2489 |    759 |  1723 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2490 |   1814 |  4191 | run.01       | run.01       | run.01       | main_workflow | solved by filter  | run.01       | WSD_large_scale |
| 2491 |   1814 |  4192 | meet.01      | meet.01      | meet.01      | main_workflow | solved by compare | meet.01      | WSD_large_scale |
| 2492 |   1448 |  3349 | contend.01   | contend.01   | contend.01   | main_workflow | solved by filter  | contend.01   | WSD_large_scale |
| 2493 |   1063 |  2426 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2494 |   1063 |  2427 | know.01      | know.01      | know.01      | main_workflow | solved by fix     | know.01      | WSD_large_scale |
| 2495 |   1063 |  2428 | feel.01      | feel.01      | feel.01      | main_workflow | solved by compare | feel.01      | WSD_large_scale |
| 2496 |    526 |  1222 | cut.02       | cut.02       | cut.02       | main_workflow | solved by compare | cut.02       | WSD_large_scale |
| 2497 |    526 |  1224 | hold.01      | hold.01      | hold.02      | main_workflow | solved by compare | hold.03      | WSD_large_scale |
| 2498 |   1365 |  3156 | call.01      | call.01      | call.01      | main_workflow | solved by compare | call.01      | WSD_large_scale |
| 2499 |   1365 |  3159 | buy.01       | buy.01       | buy.01       | main_workflow | solved by filter  | buy.01       | WSD_large_scale |
| 2500 |   2275 |  5222 | know.01      | know.01      | know.01      | main_workflow | solved by compare | know.01      | WSD_large_scale |
| 2501 |   2275 |  5224 | fire.01      | fire.01      | fire.02      | main_workflow | solved by filter  | fire.01      | WSD_large_scale |
| 2502 |   1312 |  3020 | mark.01      | mark.01      | mark.01      | main_workflow | solved by filter  | mark.01      | WSD_large_scale |
| 2503 |   1312 |  3021 | differ.02    | differ.02    | differ.02    | main_workflow | solved by filter  | differ.02    | WSD_large_scale |
| 2504 |   1581 |  3640 | dive.02      | dive.02      | dive.02      | main_workflow | solved by filter  | dive.02      | WSD_large_scale |
| 2505 |   1823 |  4210 | yield.01     | yield.01     | yield.01     | main_workflow | solved by compare | yield.01     | WSD_large_scale |
| 2506 |   2218 |  5101 | know.01      | know.01      | know.01      | main_workflow | solved by fix     | know.01      | WSD_large_scale |
| 2507 |   2218 |  5103 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2508 |     85 |   212 | note.01      | note.01      | note.01      | main_workflow | solved by filter  | note.01      | WSD_large_scale |
| 2509 |     85 |   213 | take.01      | take.01      | take.01      | main_workflow | solved by compare | take.01      | WSD_large_scale |
| 2510 |   2333 |  5352 | go.01        | go.01        | go.01        | main_workflow | solved by compare | go.01        | WSD_large_scale |
| 2511 |   2333 |  5353 | raise.01     | raise.01     | raise.01     | main_workflow | solved by compare | raise.01     | WSD_large_scale |
| 2512 |   1213 |  2759 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2513 |   1213 |  2760 | sit.01       | sit.01       | sit.01       | main_workflow | solved by filter  | sit.01       | WSD_large_scale |
| 2514 |   1111 |  2527 | bother.02    | bother.02    | bother.02    | main_workflow | solved by compare | bother.02    | WSD_large_scale |
| 2515 |   1111 |  2528 | call.02      | call.02      | call.01      | main_workflow | solved by compare | call.02      | WSD_large_scale |
| 2516 |   2563 |  5843 | feel.01      | feel.01      | feel.01      | main_workflow | solved by compare | feel.01      | WSD_large_scale |
| 2517 |   1270 |  3111 | view.02      | view.02      | view.02      | main_workflow | solved by filter  | view.02      | WSD_large_scale |
| 2518 |   1270 |  3113 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2519 |    189 |   454 | hurt.01      | hurt.01      | hurt.01      | main_workflow | solved by filter  | hurt.01      | WSD_large_scale |
| 2520 |    189 |   455 | say.01       | say.01       | say.01       | main_workflow | solved by fix     | say.01       | WSD_large_scale |
| 2521 |   1605 |  3697 | add.02       | add.02       | add.02       | main_workflow | solved by compare | add.02       | WSD_large_scale |
| 2522 |   1654 |  3829 | have.03      | have.03      | have.03      | main_workflow | solved by filter  | have.03      | WSD_large_scale |
| 2523 |   2527 |  5753 | hang.01      | hang.01      | hang.01      | main_workflow | solved by filter  | hang.01      | WSD_large_scale |
| 2524 |   2553 |  5812 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2525 |   2553 |  5813 | go.06        | go.06        | go.06        | main_workflow | solved by compare | go.06        | WSD_large_scale |
| 2526 |   2553 |  5815 | pull.01      | pull.01      | pull.01      | main_workflow | solved by compare | pull.06      | WSD_large_scale |
| 2527 |   1256 |  2881 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2528 |    610 |  1417 | build.01     | build.01     | build.01     | main_workflow | solved by filter  | build.01     | WSD_large_scale |
| 2529 |    610 |  1418 | sell.01      | sell.01      | sell.01      | main_workflow | solved by filter  | sell.01      | WSD_large_scale |
| 2530 |   1745 |  4044 | suggest.01   | suggest.01   | suggest.01   | main_workflow | solved by compare | suggest.01   | WSD_large_scale |
| 2531 |   1745 |  4045 | start.01     | start.01     | start.01     | main_workflow | solved by filter  | start.01     | WSD_large_scale |
| 2532 |   1745 |  4046 | put.03       | put.03       | put.03       | main_workflow | solved by compare | put.03       | WSD_large_scale |
| 2533 |   2554 |  5816 | call.01      | call.01      | call.01      | main_workflow | solved by filter  | call.01      | WSD_large_scale |
| 2534 |    518 |  1201 | give.01      | give.01      | give.01      | main_workflow | solved by compare | give.14      | WSD_large_scale |
| 2535 |   2416 |  5535 | set.02       | set.02       | set.02       | main_workflow | solved by compare | set.01       | WSD_large_scale |
| 2536 |   2416 |  5536 | jump.03      | jump.03      | jump.01      | main_workflow | solved by fix     | jump.03      | WSD_large_scale |
| 2537 |   2416 |  5537 | explode.01   | explode.01   | explode.01   | main_workflow | solved by filter  | explode.01   | WSD_large_scale |
| 2538 |   2416 |  5538 | have.04      | have.04      | have.03      | main_workflow | solved by compare | have.04      | WSD_large_scale |
| 2539 |   2416 |  5539 | go.16        | go.16        | go.02        | main_workflow | solved by fix     | go.16        | WSD_large_scale |
| 2540 |   1082 |  2465 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2541 |   1082 |  2466 | give.01      | give.01      | give.01      | main_workflow | solved by fix     | give.01      | WSD_large_scale |
| 2542 |   1082 |  2467 | buy.01       | buy.01       | buy.01       | main_workflow | solved by compare | buy.01       | WSD_large_scale |
| 2543 |   1082 |  2468 | take.01      | take.01      | take.01      | main_workflow | solved by filter  | take.01      | WSD_large_scale |
| 2544 |   1280 |  2935 | return.01    | return.01    | return.01    | main_workflow | solved by compare | return.01    | WSD_large_scale |
| 2545 |    125 |   315 | take.01      | take.01      | take.01      | main_workflow | solved by compare | take.01      | WSD_large_scale |
| 2546 |    125 |   316 | declare.02   | declare.02   | declare.02   | main_workflow | solved by filter  | declare.02   | WSD_large_scale |
| 2547 |    262 |   609 | do.02        | do.02        | do.02        | main_workflow | solved by compare | do.02        | WSD_large_scale |
| 2548 |   1216 |  2765 | have.03      | have.03      | have.03      | main_workflow | solved by fix     | have.03      | WSD_large_scale |
| 2549 |   1216 |  2766 | send.03      | send.03      | send.01      | main_workflow | solved by fix     | send.03      | WSD_large_scale |
| 2550 |   1545 |  3567 | set.02       | set.02       | set.01       | main_workflow | solved by compare | set.02       | WSD_large_scale |
| 2551 |   1545 |  3568 | get.01       | get.10       | get.10       | main_workflow | solved by compare | get.10       | WSD_large_scale |
| 2552 |   1655 |  3830 | begin.01     | begin.01     | begin.01     | main_workflow | solved by filter  | begin.01     | WSD_large_scale |
| 2553 |   1655 |  3832 | grow.01      | grow.01      | grow.01      | main_workflow | solved by compare | grow.01      | WSD_large_scale |
| 2554 |    898 |  2040 | continue.01  | continue.01  | continue.01  | main_workflow | solved by filter  | continue.01  | WSD_large_scale |
| 2555 |    898 |  2041 | lose.02      | lose.02      | lose.02      | main_workflow | solved by compare | lose.02      | WSD_large_scale |
| 2556 |   1782 |  4122 | end.01       | end.01       | end.01       | main_workflow | solved by filter  | end.01       | WSD_large_scale |
| 2557 |    348 |   785 | wash.02      | wash.02      | wash.01      | main_workflow | solved by compare | wash.02      | WSD_large_scale |
| 2558 |   1634 |  3777 | stand.04     | stand.08     | stand.01     | main_workflow | solved by compare | stand.08     | WSD_large_scale |
| 2559 |   1329 |  3060 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2560 |   1329 |  3061 | take.10      | take.10      | take.01      | main_workflow | solved by compare | take.10      | WSD_large_scale |
| 2561 |   1329 |  3063 | buy.01       | buy.01       | buy.01       | main_workflow | solved by filter  | buy.01       | WSD_large_scale |
| 2562 |   1329 |  3064 | sell.01      | sell.01      | sell.01      | main_workflow | solved by filter  | sell.01      | WSD_large_scale |
| 2563 |   1842 |  4253 | tend.02      | tend.02      | tend.02      | main_workflow | solved by filter  | tend.02      | WSD_large_scale |
| 2564 |   2083 |  4795 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2565 |    473 |  1102 | mean.01      | mean.01      | mean.01      | main_workflow | solved by filter  | mean.01      | WSD_large_scale |
| 2566 |    473 |  1103 | live.01      | live.01      | live.01      | main_workflow | solved by filter  | live.01      | WSD_large_scale |
| 2567 |     67 |   165 | become.01    | become.01    | become.01    | main_workflow | solved by filter  | become.01    | WSD_large_scale |
| 2568 |   1182 |  2695 | see.01       | see.01       | see.01       | main_workflow | solved by fix     | see.01       | WSD_large_scale |
| 2569 |   1182 |  2696 | pull.01      | pull.01      | pull.01      | main_workflow | solved by fix     | pull.01      | WSD_large_scale |
| 2570 |    800 |  1818 | predict.01   | predict.01   | predict.01   | main_workflow | solved by filter  | predict.01   | WSD_large_scale |
| 2571 |    800 |  1819 | appear.02    | appear.02    | appear.02    | main_workflow | solved by compare | appear.02    | WSD_large_scale |
| 2572 |    800 |  1820 | stabilize.01 | stabilize.01 | stabilize.01 | main_workflow | solved by filter  | stabilize.01 | WSD_large_scale |
| 2573 |    800 |  1821 | decline.01   | decline.01   | decline.01   | main_workflow | solved by filter  | decline.01   | WSD_large_scale |
| 2574 |    607 |  1410 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2575 |    839 |  2617 | set.01       | set.11       | set.01       | main_workflow | solved by fix     | set.11       | WSD_large_scale |
| 2576 |   2027 |  4676 | grow.01      | grow.01      | grow.01      | main_workflow | solved by filter  | grow.01      | WSD_large_scale |
| 2577 |   2027 |  4677 | drop.01      | drop.01      | drop.01      | main_workflow | solved by filter  | drop.01      | WSD_large_scale |
| 2578 |   2287 |  5249 | sit.01       | sit.01       | sit.01       | main_workflow | solved by filter  | sit.01       | WSD_large_scale |
| 2579 |   2287 |  5250 | cross.01     | cross.01     | cross.02     | main_workflow | solved by fix     | cross.01     | WSD_large_scale |
| 2580 |   2287 |  5251 | cross.02     | cross.01     | cross.01     | main_workflow | solved by compare | cross.01     | WSD_large_scale |
| 2581 |   2287 |  5252 | tap.01       | tap.01       | tap.03       | main_workflow | solved by compare | tap.01       | WSD_large_scale |
| 2582 |   2118 |  4869 | see.01       | see.01       | see.01       | main_workflow | solved by compare | see.01       | WSD_large_scale |
| 2583 |   2118 |  4871 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2584 |    811 |  1847 | lay.02       | lay.02       | lay.02       | main_workflow | solved by compare | lay.02       | WSD_large_scale |
| 2585 |   2150 |  4941 | take.01      | take.01      | take.01      | main_workflow | solved by compare | take.01      | WSD_large_scale |
| 2586 |   1671 |  3869 | top.02       | top.02       | top.02       | main_workflow | solved by filter  | top.02       | WSD_large_scale |
| 2587 |    229 |   537 | halt.01      | halt.01      | halt.01      | main_workflow | solved by fix     | halt.01      | WSD_large_scale |
| 2588 |    370 |   849 | hold.01      | hold.01      | hold.01      | main_workflow | solved by fix     | hold.01      | WSD_large_scale |
| 2589 |    370 |   850 | double.01    | double.01    | double.01    | main_workflow | solved by compare | double.01    | WSD_large_scale |
| 2590 |    163 |   400 | make.02      | make.02      | make.02      | main_workflow | solved by filter  | make.02      | WSD_large_scale |
| 2591 |    163 |   402 | close.01     | close.01     | close.02     | main_workflow | solved by compare | close.02     | WSD_large_scale |
| 2592 |    720 |  1646 | close.02     | close.02     | close.02     | main_workflow | solved by compare | close.02     | WSD_large_scale |
| 2593 |   2132 |  4901 | fall.01      | fall.01      | fall.01      | main_workflow | solved by compare | fall.01      | WSD_large_scale |
| 2594 |   2132 |  4904 | squeeze.01   | squeeze.01   | squeeze.01   | main_workflow | solved by compare | squeeze.01   | WSD_large_scale |
| 2595 |   1853 |  4284 | add.01       | add.01       | add.01       | main_workflow | solved by filter  | add.01       | WSD_large_scale |
| 2596 |   1853 |  4286 | sit.01       | sit.01       | sit.01       | main_workflow | solved by filter  | sit.01       | WSD_large_scale |
| 2597 |   1853 |  4287 | drink.01     | drink.01     | drink.01     | main_workflow | solved by compare | drink.01     | WSD_large_scale |
| 2598 |    152 |   369 | do.02        | do.02        | do.02        | main_workflow | solved by fix     | do.02        | WSD_large_scale |
| 2599 |     29 |    72 | stay.01      | stay.01      | stay.01      | main_workflow | solved by filter  | stay.01      | WSD_large_scale |
| 2600 |     29 |    73 | say.01       | say.01       | say.01       | main_workflow | solved by fix     | say.01       | WSD_large_scale |
| 2601 |     29 |    74 | add.02       | add.02       | add.02       | main_workflow | solved by filter  | add.02       | WSD_large_scale |
| 2602 |     29 |    75 | make.02      | make.02      | make.02      | main_workflow | solved by compare | make.02      | WSD_large_scale |
| 2603 |     29 |    76 | ease.02      | ease.02      | ease.02      | main_workflow | solved by compare | ease.02      | WSD_large_scale |
| 2604 |   1736 |  4026 | break.01     | break.18     | break.01     | main_workflow | solved by compare | break.18     | WSD_large_scale |
| 2605 |   2454 |  5607 | follow.02    | follow.02    | follow.01    | main_workflow | solved by compare | follow.01    | WSD_large_scale |
| 2606 |    225 |   529 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2607 |    225 |   530 | call.01      | call.01      | call.01      | main_workflow | solved by fix     | call.01      | WSD_large_scale |
| 2608 |   1697 |  3944 | produce.01   | produce.01   | produce.01   | main_workflow | solved by filter  | produce.01   | WSD_large_scale |
| 2609 |   1300 |  2986 | start.01     | start.01     | start.01     | main_workflow | solved by compare | start.01     | WSD_large_scale |
| 2610 |   1300 |  2987 | get.09       | get.09       | get.09       | main_workflow | solved by compare | get.09       | WSD_large_scale |
| 2611 |   1360 |  3147 | cite.01      | cite.01      | cite.01      | main_workflow | solved by filter  | cite.01      | WSD_large_scale |
| 2612 |   1360 |  3148 | do.02        | do.02        | do.02        | main_workflow | solved by fix     | do.02        | WSD_large_scale |
| 2613 |   1310 |  3017 | begin.01     | begin.01     | begin.01     | main_workflow | solved by filter  | begin.01     | WSD_large_scale |
| 2614 |   2012 |  4634 | become.01    | become.01    | become.01    | main_workflow | solved by filter  | become.01    | WSD_large_scale |
| 2615 |    874 |  1991 | follow.01    | follow.01    | follow.01    | main_workflow | solved by fix     | follow.01    | WSD_large_scale |
| 2616 |   1200 |  2732 | go.01        | go.01        | go.01        | main_workflow | solved by compare | go.01        | WSD_large_scale |
| 2617 |   1200 |  2733 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2618 |   1066 |  2436 | sell.01      | sell.01      | sell.01      | main_workflow | solved by filter  | sell.01      | WSD_large_scale |
| 2619 |   1066 |  2437 | hang.01      | hang.01      | hang.01      | main_workflow | solved by compare | hang.05      | WSD_large_scale |
| 2620 |   1066 |  2438 | do.02        | do.02        | do.02        | main_workflow | solved by filter  | do.02        | WSD_large_scale |
| 2621 |   1701 |  3952 | suggest.01   | suggest.01   | suggest.01   | main_workflow | solved by filter  | suggest.01   | WSD_large_scale |
| 2622 |   1701 |  3953 | move.01      | move.01      | move.01      | main_workflow | solved by fix     | move.01      | WSD_large_scale |
| 2623 |   2162 |  4967 | lift.01      | lift.01      | lift.01      | main_workflow | solved by filter  | lift.01      | WSD_large_scale |
| 2624 |   2162 |  4968 | low.05       | low.05       | low.05       | main_workflow | solved by filter  | low.05       | WSD_large_scale |
| 2625 |   1098 |  2500 | cut.01       | cut.01       | cut.02       | main_workflow | solved by compare | cut.01       | WSD_large_scale |
| 2626 |   1301 |  2989 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2627 |   1301 |  2990 | climb.02     | climb.02     | climb.02     | main_workflow | solved by filter  | climb.02     | WSD_large_scale |
| 2628 |   1301 |  2991 | give.01      | give.01      | give.01      | main_workflow | solved by fix     | give.01      | WSD_large_scale |
