id   	 sen_id 	 va_id 	 ori_gold 	 final_gold 	 pred    	 ex_condition  	 worker_decision   	 final_label 	 dataset
2884	2498	14006	they~A0~12	they~A0~12	they~A0~12	main_workflow	solved by compare	they~A0~12	SRL_large_scale
2885	2498	14007	the machine gun~A1~12	the machine gun~A1~12	the machine gun~A1~12	main_workflow	solved by filter	the machine gun~A1~12	SRL_large_scale
2886	2498	14008	on a small knoll~AM-LOC~12	on a small knoll~AM-LOC~12	on a small knoll~AM-MNR~12	main_workflow	solved by fix	on a small knoll~AM-LOC~12	SRL_large_scale
2887	2498	14009	so that it could fire above the heads of the rest of the patrol~AM-PNC~12	so that it could fire above the heads of the rest of the patrol~AM-PNC~12	so that it could fire above the heads of the rest of the patrol~AM-PNC~12	main_workflow	solved by compare	so that it could fire above the heads of the rest of the patrol~AM-PNC~12	SRL_large_scale
2888	2498	14010	it~A1~25	it~A1~25	it~A0~25	main_workflow	solved by compare	it~A0~25	SRL_large_scale
2889	2498	14011	it could fire above the heads of the rest of the patrol~AM-MOD~25	it could fire above the heads of the rest of the patrol~AM-MOD~25	it could fire above the heads of the rest of the patrol~AM-MOD~25	main_workflow	solved by compare	it could fire above the heads of the rest of the patrol~AM-MOD~25	SRL_large_scale
2890	2498	14012	above the heads of the rest of the patrol~AM-LOC~25	above the heads of the rest of the patrol~AM-LOC~25	above the heads of the rest of the patrol~AM-DIR~25	main_workflow	solved by fix	above the heads of the rest of the patrol~AM-LOC~25	SRL_large_scale
2891	721	4074	The company~A0~3	The company~A0~3	The company~A0~3	main_workflow	solved by compare	The company~A0~3	SRL_large_scale
2892	721	4075	a superconcentrated Lemon Cheer~A1~3	a superconcentrated Lemon Cheer~A1~3	a superconcentrated Lemon Cheer~A1~3	main_workflow	solved by compare	a superconcentrated Lemon Cheer~A1~3	SRL_large_scale
2893	721	4076	in Japan~AM-LOC~3	in Japan~AM-LOC~3	in Japan~AM-LOC~3	main_workflow	solved by compare	in Japan~AM-LOC~3	SRL_large_scale
2894	721	4077	after watching the success of Attack~AM-TMP~3	after watching the success of Attack~AM-TMP~3	after watching the success of Attack~AM-TMP~3	main_workflow	solved by fix	after watching the success of Attack~AM-TMP~3	SRL_large_scale
2895	721	4078	The company~A0~11	The company~A0~11	The company~A0~11	main_workflow	solved by compare	The company~A0~11	SRL_large_scale
2896	721	4079	the success of Attack~A1~11	the success of Attack~A1~11	the success of Attack~A1~11	main_workflow	solved by filter	the success of Attack~A1~11	SRL_large_scale
2897	1650	9437	She~A0~3	She~A0~3	She~A0~3	main_workflow	solved by filter	She~A0~3	SRL_large_scale
2898	1650	9438	a staff of about 35 investigative reporters who will produce weekly , in - depth segments , with an eye toward breaking big stories~A1~3	a staff of about 35 investigative reporters who will produce weekly , in - depth segments , with an eye toward breaking big stories~A1~3	a staff of about 35 investigative reporters who will produce weekly , in - depth segments , with an eye toward breaking big stories~A1~3	main_workflow	solved by filter	a staff of about 35 investigative reporters who will produce weekly , in - depth segments , with an eye toward breaking big stories~A1~3	SRL_large_scale
2899	1650	9439	a staff of about 35 investigative reporters~A0~13	a staff of about 35 investigative reporters~A0~13	a staff of about 35 investigative reporters~A0~13	main_workflow	solved by fix	a staff of about 35 investigative reporters~A0~13	SRL_large_scale
2900	1650	9441	who will produce weekly , in - depth segments , with an eye toward breaking big stories~AM-MOD~13	who will produce weekly , in - depth segments , with an eye toward breaking big stories~AM-MOD~13	who will produce weekly , in - depth segments , with an eye toward breaking big stories~AM-MOD~13	main_workflow	solved by filter	who will produce weekly , in - depth segments , with an eye toward breaking big stories~AM-MOD~13	SRL_large_scale
2901	1650	9442	weekly , in - depth segments~A1~13	weekly , in - depth segments~A1~13	weekly , in - depth segments~A1~13	main_workflow	solved by compare	weekly , in - depth segments~A1~13	SRL_large_scale
2902	1650	9443	with an eye toward breaking big stories~AM-MNR~13	with an eye toward breaking big stories~AM-MNR~13	with an eye toward breaking big stories~AM-MNR~13	main_workflow	solved by compare	with an eye toward breaking big stories~AM-MNR~13	SRL_large_scale
2903	1650	9444	big stories~A1~25	big stories~A1~25	big stories~A1~25	main_workflow	solved by filter	big stories~A1~25	SRL_large_scale
2904	1077	6091	Shares of UAL , the parent of United Airlines ,~A0~18	Shares of UAL , the parent of United Airlines ,~A0~18	Shares of UAL , the parent of United Airlines ,~A0~18	main_workflow	solved by compare	Shares of UAL , the parent of United Airlines ,~A0~18	SRL_large_scale
2905	1077	6092	to news and rumors about the proposed $ 6.79 billion buy - out of the airline by an employee - management group~A1~18	to news and rumors about the proposed $ 6.79 billion buy - out of the airline by an employee - management group~A1~18	to news and rumors about the proposed $ 6.79 billion buy - out of the airline by an employee - management group~A1~18	main_workflow	solved by fix	to news and rumors about the proposed $ 6.79 billion buy - out of the airline by an employee - management group~A1~18	SRL_large_scale
2906	1077	6093	the proposed $ 6.79 billion buy - out of the airline by an employee - management group~A1~25	the proposed $ 6.79 billion buy - out of the airline by an employee - management group~A1~25	the proposed $ 6.79 billion buy - out of the airline by an employee - management group~A1~25	main_workflow	solved by compare	the proposed $ 6.79 billion buy - out of the airline by an employee - management group~A1~25	SRL_large_scale
2907	903	5083	Major oil companies~A1~10	Major oil companies~A1~10	Major oil companies~A1~10	main_workflow	solved by compare	Major oil companies~A1~10	SRL_large_scale
2908	903	5084	in the next few days~AM-TMP~10	in the next few days~AM-TMP~10	in the next few days~AM-TMP~10	main_workflow	solved by compare	in the next few days~A1~10	SRL_large_scale
2909	903	5086	much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability~A1~12	much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability~A1~12	much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability~A1~12	main_workflow	solved by filter	much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability~A1~12	SRL_large_scale
2910	903	5087	much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability~A2~29	much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability~A2~29	much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability~A2~29	main_workflow	solved by fix	much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability~A2~29	SRL_large_scale
2911	903	5088	deteriorating chemical prices and gasoline profitability~A1~30	deteriorating chemical prices and gasoline profitability~A1~30	deteriorating chemical prices and gasoline profitability~A1~30	main_workflow	solved by compare	deteriorating chemical prices and gasoline profitability~A1~30	SRL_large_scale
2912	1481	8479	mounting competition from new Japanese car plants in the U.S. that are pouring out more than one million vehicles a year at costs lower than GM can match~A1~4	mounting competition from new Japanese car plants in the U.S. that are pouring out more than one million vehicles a year at costs lower than GM can match~A1~4	mounting competition from new Japanese car plants in the U.S. that are pouring out more than one million vehicles a year at costs lower than GM can match~A1~4	main_workflow	solved by compare	mounting competition from new Japanese car plants in the U.S. that are pouring out more than one million vehicles a year at costs lower than GM can match~A1~4	SRL_large_scale
2913	1481	8480	new Japanese car plants in the U.S. that are pouring out more than one million vehicles a year at costs lower than GM can match~A0~16	new Japanese car plants in the U.S. that are pouring out more than one million vehicles a year at costs lower than GM can match~A0~16	new Japanese car plants in the U.S. that are pouring out more than one million vehicles a year at costs lower than GM can match~A0~16	main_workflow	solved by compare	new Japanese car plants in the U.S. that are pouring out more than one million vehicles a year at costs lower than GM can match~A0~16	SRL_large_scale
2914	1481	8482	out~A3~16	out~A3~16	out~AM-DIR~16	main_workflow	solved by compare	out~AM-DIR~16	SRL_large_scale
2915	1481	8483	more than one million vehicles a year~A1~16	more than one million vehicles a year~A1~16	more than one million vehicles a year~A1~16	main_workflow	solved by fix	more than one million vehicles a year~A1~16	SRL_large_scale
2916	1481	8484	at costs lower than GM can match~AM-MNR~16	at costs lower than GM can match~AM-MNR~16	at costs lower than GM can match~A3~16	main_workflow	solved by fix	at costs lower than GM can match~AM-MNR~16	SRL_large_scale
2917	1481	8485	GM~A0~31	GM~A0~31	GM~A0~31	main_workflow	solved by compare	GM~A0~31	SRL_large_scale
2918	1481	8486	GM can match~AM-MOD~31	GM can match~AM-MOD~31	GM can match~AM-MOD~31	main_workflow	solved by compare	GM can match~AM-MOD~31	SRL_large_scale
2919	1880	10705	none_of_the_above	none_of_the_above	It~A0~4	main_workflow	solved by fix	none_of_the_above	SRL_large_scale
2920	1880	10706	It wo n't take much more to `` scare the hell out of retail investors~AM-MOD~4	It wo n't take much more to `` scare the hell out of retail investors~AM-MOD~4	It wo n't take much more to `` scare the hell out of retail investors~AM-MOD~4	main_workflow	solved by compare	It wo n't take much more to `` scare the hell out of retail investors~AM-MOD~4	SRL_large_scale
2921	1880	10707	n't~AM-NEG~4	n't~AM-NEG~4	n't~AM-NEG~4	main_workflow	solved by compare	n't~AM-NEG~4	SRL_large_scale
2922	1880	10708	much more~A1~4	much more~A1~4	much more~A1~4	main_workflow	solved by fix	much more~A1~4	SRL_large_scale
2923	1880	10709	the hell~A3~9	the hell~A3~9	the hell~A1~9	main_workflow	solved by compare	the hell~A3~9	SRL_large_scale
2924	1880	10710	out of retail investors~A1~9	out of retail investors~A1~9	out of retail investors~A2~9	main_workflow	solved by compare	out of retail investors~A1~9	SRL_large_scale
2925	1880	10711	It wo n't take much more to `` scare the hell out of retail investors~A1~19	It wo n't take much more to `` scare the hell out of retail investors~A1~19	It wo n't take much more to `` scare the hell out of retail investors~A1~19	main_workflow	solved by compare	It wo n't take much more to `` scare the hell out of retail investors~A1~19	SRL_large_scale
2926	1880	10712	he~A0~19	he~A0~19	he~A0~19	main_workflow	solved by compare	he~A0~19	SRL_large_scale
2927	669	3791	larger department stores , which anchor retail neighborhoods ,~A0~22	larger department stores , which anchor retail neighborhoods ,~A0~22	larger department stores , which anchor retail neighborhoods ,~A0~22	main_workflow	solved by compare	larger department stores , which anchor retail neighborhoods ,~A0~22	SRL_large_scale
2928	669	3793	retail neighborhoods~A1~22	retail neighborhoods~A1~22	retail neighborhoods~A1~22	main_workflow	solved by filter	retail neighborhoods~A1~22	SRL_large_scale
2929	2461	13838	A foot misplaced , a leg missing .~A1~3	A foot misplaced , a leg missing .~A1~3	A foot misplaced , a leg missing .~A1~3	main_workflow	solved by filter	A foot misplaced , a leg missing .~A1~3	SRL_large_scale
2930	2461	13839	a leg missing~A1~7	a leg missing~A1~7	a leg missing~A1~7	main_workflow	solved by compare	a leg missing~A1~7	SRL_large_scale
2931	2063	11743	He~A0~2	He~A0~2	He~A0~2	main_workflow	solved by fix	He~A0~2	SRL_large_scale
2932	2063	11744	that efforts to firm up prices will be undermined by producers ' plans to expand production capacity~A1~2	that efforts to firm up prices will be undermined by producers ' plans to expand production capacity~A1~2	that efforts to firm up prices will be undermined by producers ' plans to expand production capacity~A1~2	main_workflow	solved by compare	that efforts to firm up prices will be undermined by producers ' plans to expand production capacity~A1~2	SRL_large_scale
2933	2063	11745	prices~A1~6	prices~A1~6	prices~A1~6	main_workflow	solved by filter	prices~A1~6	SRL_large_scale
2934	2063	11746	efforts to firm up prices~A1~11	efforts to firm up prices~A1~11	efforts to firm up prices~A1~11	main_workflow	solved by filter	efforts to firm up prices~A1~11	SRL_large_scale
2935	2063	11747	efforts to firm up prices will be undermined by producers ' plans to expand production capacity~AM-MOD~11	efforts to firm up prices will be undermined by producers ' plans to expand production capacity~AM-MOD~11	efforts to firm up prices will be undermined by producers ' plans to expand production capacity~AM-MOD~11	main_workflow	solved by filter	efforts to firm up prices will be undermined by producers ' plans to expand production capacity~AM-MOD~11	SRL_large_scale
2936	2063	11748	by producers ' plans to expand production capacity~A0~11	by producers ' plans to expand production capacity~A0~11	by producers ' plans to expand production capacity~A0~11	main_workflow	solved by filter	by producers ' plans to expand production capacity~A0~11	SRL_large_scale
2937	2063	11749	production capacity~A1~17	production capacity~A1~17	production capacity~A1~17	main_workflow	solved by compare	production capacity~A1~17	SRL_large_scale
2938	1487	8515	The release~A0~3	The release~A0~3	The release~A0~3	main_workflow	solved by compare	The release~A0~3	SRL_large_scale
2939	1487	8516	none_of_the_above	none_of_the_above	that `` there are significant differences between the current environment and that of October 1987 '' and that there are still `` attractive investment opportunities '' in the stock market~A1~3	main_workflow	solved by compare	that `` there are significant differences between the current environment and that of October 1987 '' and that there are still `` attractive investment opportunities '' in the stock market~A1~3	SRL_large_scale
2940	76	452	The most militant opposition to American TV imports~A1~10	The most militant opposition to American TV imports~A1~10	The most militant opposition to American TV imports~A2~10	main_workflow	solved by compare	The most militant opposition to American TV imports~A2~10	SRL_large_scale
2941	76	453	from French television and movie producers , who have demanded quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A2~10	from French television and movie producers , who have demanded quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A2~10	from French television and movie producers , who have demanded quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A2~10	main_workflow	solved by compare	from French television and movie producers , who have demanded quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A2~10	SRL_large_scale
2942	76	454	French television and movie producers , who have demanded quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A0~20	French television and movie producers , who have demanded quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A0~20	French television and movie producers , who have demanded quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A0~20	main_workflow	solved by compare	French television and movie producers , who have demanded quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A0~20	SRL_large_scale
2943	76	456	quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A1~20	quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A1~20	quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A1~20	main_workflow	solved by filter	quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A1~20	SRL_large_scale
2944	76	457	quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A0~22	quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A0~22	quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A0~22	main_workflow	solved by compare	quotas ensuring that a full 60 % of Europe 's TV shows be produced in Europe~A0~22	SRL_large_scale
2945	76	458	that a full 60 % of Europe 's TV shows be produced in Europe~A1~22	that a full 60 % of Europe 's TV shows be produced in Europe~A1~22	that a full 60 % of Europe 's TV shows be produced in Europe~A1~22	main_workflow	solved by filter	that a full 60 % of Europe 's TV shows be produced in Europe~A1~22	SRL_large_scale
2946	76	459	a full 60 % of Europe 's TV shows~A1~34	a full 60 % of Europe 's TV shows~A1~34	a full 60 % of Europe 's TV shows~A1~34	main_workflow	solved by filter	a full 60 % of Europe 's TV shows~A1~34	SRL_large_scale
2947	76	460	in Europe~AM-LOC~34	in Europe~AM-LOC~34	in Europe~AM-LOC~34	main_workflow	solved by compare	in Europe~AM-LOC~34	SRL_large_scale
2948	637	3636	Some analysts~A0~3	Some analysts~A0~3	Some analysts~A0~3	main_workflow	solved by compare	Some analysts~A0~3	SRL_large_scale
2949	637	3637	oil prices~A1~3	oil prices~A1~3	oil prices~A1~3	main_workflow	solved by compare	oil prices~A1~3	SRL_large_scale
2950	637	3639	oil prices~A1~7	oil prices~A1~7	oil prices~A1~7	main_workflow	solved by fix	oil prices~A1~7	SRL_large_scale
2951	637	3640	relatively stable~A3~7	relatively stable~A3~7	relatively stable~A3~7	main_workflow	solved by compare	relatively stable~A3~7	SRL_large_scale
2952	637	3641	in the months ahead~AM-TMP~7	in the months ahead~AM-TMP~7	in the months ahead~AM-TMP~7	main_workflow	solved by compare	in the months ahead~AM-TMP~7	SRL_large_scale
2953	637	3643	the future pace of inflation~A1~15	the future pace of inflation~A1~15	the future pace of inflation~A1~15	main_workflow	solved by compare	the future pace of inflation~A1~15	SRL_large_scale
2954	637	3644	uncertain~A2~15	uncertain~A2~15	uncertain~A2~15	main_workflow	solved by compare	uncertain~A2~15	SRL_large_scale
2955	2464	13848	He~A1~4	He~A1~4	He~A1~4	main_workflow	solved by compare	He~A1~4	SRL_large_scale
2956	2464	13849	n't~AM-NEG~4	n't~AM-NEG~4	n't~AM-NEG~4	main_workflow	solved by compare	n't~AM-NEG~4	SRL_large_scale
2957	2464	13850	with the ordinary , rank - and - file fear that overcomes and paralyzes and sends individual soldiers and whole companies under fire running in panic~A2~4	with the ordinary , rank - and - file fear that overcomes and paralyzes and sends individual soldiers and whole companies under fire running in panic~A2~4	with the ordinary , rank - and - file fear that overcomes and paralyzes and sends individual soldiers and whole companies under fire running in panic~A2~4	main_workflow	solved by compare	with the ordinary , rank - and - file fear that overcomes and paralyzes and sends individual soldiers and whole companies under fire running in panic~A2~4	SRL_large_scale
2958	2464	13851	the ordinary , rank - and - file fear~A0~16	the ordinary , rank - and - file fear~A0~16	the ordinary , rank - and - file fear~A1~16	main_workflow	solved by fix	the ordinary , rank - and - file fear~A1~16	SRL_large_scale
2959	2464	13854	individual soldiers and whole companies under fire~A1~20	individual soldiers and whole companies under fire~A1~20	individual soldiers and whole companies under fire~A1~20	main_workflow	solved by fix	individual soldiers and whole companies under fire~A1~20	SRL_large_scale
2960	2464	13855	running in panic~A2~20	running in panic~A2~20	running in panic~A2~20	main_workflow	solved by compare	running in panic~A2~20	SRL_large_scale
2961	2464	13856	individual soldiers and whole companies under fire~A0~28	individual soldiers and whole companies under fire~A0~28	individual soldiers and whole companies under fire~A1~28	main_workflow	solved by compare	individual soldiers and whole companies under fire~A0~28	SRL_large_scale
2962	153	927	Time~A0~3	Time~A0~3	Time~A0~3	main_workflow	solved by compare	Time~A0~3	SRL_large_scale
2963	153	928	the course of some other mass - circulation magazines that in recent years have challenged the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A1~3	the course of some other mass - circulation magazines that in recent years have challenged the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A1~3	the course of some other mass - circulation magazines that in recent years have challenged the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A1~3	main_workflow	solved by filter	the course of some other mass - circulation magazines that in recent years have challenged the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A1~3	SRL_large_scale
2964	153	929	some other mass - circulation magazines that in recent years have challenged the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A0~18	some other mass - circulation magazines that in recent years have challenged the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A0~18	some other mass - circulation magazines that in recent years have challenged the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A0~18	main_workflow	solved by filter	some other mass - circulation magazines that in recent years have challenged the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A0~18	SRL_large_scale
2965	153	931	in recent years~AM-TMP~18	in recent years~AM-TMP~18	in recent years~AM-TMP~18	main_workflow	solved by compare	in recent years~AM-TMP~18	SRL_large_scale
2966	153	932	the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A1~18	the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A1~18	the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A1~18	main_workflow	solved by compare	the publishing myth that maintaining artificially high , and expensive , circulations is the way to draw advertisers~A1~18	SRL_large_scale
2967	153	933	artificially high , and expensive , circulations~A1~23	artificially high , and expensive , circulations~A1~23	artificially high , and expensive , circulations~A1~23	main_workflow	solved by filter	artificially high , and expensive , circulations~A1~23	SRL_large_scale
2968	153	934	advertisers~A1~35	advertisers~A1~35	advertisers~A1~35	main_workflow	solved by filter	advertisers~A1~35	SRL_large_scale
2969	1635	9339	the effort~A1~4	the effort~A1~4	the effort~A1~4	main_workflow	solved by compare	the effort~A1~4	SRL_large_scale
2970	1635	9340	CNN~A0~4	CNN~A0~4	CNN~A0~4	main_workflow	solved by compare	CNN~A0~4	SRL_large_scale
2971	1635	9341	Tonight~AM-TMP~11	Tonight~AM-TMP~11	Tonight~AM-TMP~11	main_workflow	solved by compare	Tonight~AM-TMP~11	SRL_large_scale
2972	1635	9342	to kick off the effort~AM-PNC~11	to kick off the effort~AM-PNC~11	to kick off the effort~AM-PNC~11	main_workflow	solved by compare	to kick off the effort~AM-PNC~11	SRL_large_scale
2973	1635	9343	CNN~A0~11	CNN~A0~11	CNN~A0~11	main_workflow	solved by filter	CNN~A0~11	SRL_large_scale
2974	1635	9344	Tonight , to kick off the effort , CNN will premiere its first prime - time newscast in years , an hourlong show at 6 p.m . Eastern time to air head - to - head against the network newscasts .~AM-MOD~11	Tonight , to kick off the effort , CNN will premiere its first prime - time newscast in years , an hourlong show at 6 p.m . Eastern time to air head - to - head against the network newscasts .~AM-MOD~11	Tonight , to kick off the effort , CNN will premiere its first prime - time newscast in years , an hourlong show at 6 p.m . Eastern time to air head - to - head against the network newscasts .~AM-MOD~11	main_workflow	solved by filter	Tonight , to kick off the effort , CNN will premiere its first prime - time newscast in years , an hourlong show at 6 p.m . Eastern time to air head - to - head against the network newscasts .~AM-MOD~11	SRL_large_scale
2975	1635	9345	its first prime - time newscast in years , an hourlong show at 6 p.m . Eastern time to air head - to - head against the network newscasts~A1~11	its first prime - time newscast in years , an hourlong show at 6 p.m . Eastern time to air head - to - head against the network newscasts~A1~11	its first prime - time newscast in years , an hourlong show at 6 p.m . Eastern time to air head - to - head against the network newscasts~A1~11	main_workflow	solved by compare	its first prime - time newscast in years , an hourlong show at 6 p.m . Eastern time to air head - to - head against the network newscasts~A1~11	SRL_large_scale
2976	1635	9346	against the network newscasts~A2~31	against the network newscasts~A2~31	against the network newscasts~A1~31	main_workflow	solved by compare	against the network newscasts~A1~31	SRL_large_scale
2977	768	4333	The Bronx~A0~3	The Bronx~A0~3	The Bronx~A0~3	main_workflow	solved by compare	The Bronx~A0~3	SRL_large_scale
2978	768	4334	a wonderful botanical garden , a great zoo , its own charming Little Italy ( on Arthur Avenue ) and , of course , the Yankees~A1~3	a wonderful botanical garden , a great zoo , its own charming Little Italy ( on Arthur Avenue ) and , of course , the Yankees~A1~3	a wonderful botanical garden , a great zoo , its own charming Little Italy ( on Arthur Avenue ) and , of course , the Yankees~A1~3	main_workflow	solved by fix	a wonderful botanical garden , a great zoo , its own charming Little Italy ( on Arthur Avenue ) and , of course , the Yankees~A1~3	SRL_large_scale
2979	328	1882	Japan , the EC , Brazil , Mexico and South Korea~A0~12	Japan , the EC , Brazil , Mexico and South Korea~A0~12	Japan , the EC , Brazil , Mexico and South Korea~A0~12	main_workflow	solved by compare	Japan , the EC , Brazil , Mexico and South Korea~A0~12	SRL_large_scale
2980	328	1883	about 80 % of the steel imported to the U.S. under the quota program~A1~12	about 80 % of the steel imported to the U.S. under the quota program~A1~12	about 80 % of the steel imported to the U.S. under the quota program~A1~12	main_workflow	solved by compare	about 80 % of the steel imported to the U.S. under the quota program~A1~12	SRL_large_scale
2981	328	1884	the steel imported to the U.S. under the quota program~A1~19	the steel imported to the U.S. under the quota program~A1~19	the steel imported to the U.S. under the quota program~A1~19	main_workflow	solved by compare	the steel imported to the U.S. under the quota program~A1~19	SRL_large_scale
